ID,Loc,RAJ2000,DEJ2000,SNR,HRV,e_HRV,Teff,e_Teff,logg,e_logg,Vsini,[M/H],e_[M/H]
2M08290609+0107019,5127,127.275378,1.117205,85.389,-7.27695,0.035958,3953.494,84.922,4.7583,0.1092,4.48776,-0.092904,0.014047
2M08290669-0026402,5127,127.27789,-0.444518,104.74,-19.320299,0.031194,3852.197,79.886,4.8059,0.1152,3.11193,-0.207609,0.014944
2M08290782+2203231,5632,127.28262,22.056417,45.029,28.5704,0.065489,3755.035,90.628,4.6994,0.1274,5.67336,-0.528979,0.024443
2M08290842+5012490,2297,127.285109,50.213631,135.25,-0.425487,0.032689,3890.469,79.772,4.7154,0.114,5.82559,-0.185889,0.014195
2M08291688+2155310,2402,127.320342,21.92528,122.84,-14.2381,0.024889,3636.796,71.748,4.613,0.1241,4.73794,-0.333909,0.016782
2M08291326+2237390,2408,127.305277,22.627502,151.41,0.435486,0.020594,3789.465,66.745,4.7303,0.1052,2.63106,0.153381,0.009559
2M08291688+2155310,2408,127.320342,21.92528,139.01,-14.0783,0.020581,3687.254,70.986,4.8124,0.1221,1.78978,-0.297839,0.015311
2M08292892+4309259,5638,127.37051,43.157215,80.352,-7.89632,0.058271,3583.805,78.851,4.75,0.1316,10.10183,-0.530609,0.02331
2M08293036+0056347,5127,127.376526,0.942989,116.73,14.8581,0.029887,3449.796,69.118,5.06,0.1276,8.56979,-0.347949,0.019569
2M08293422+2846505,2424,127.392619,28.780722,221.32,15.49,0.04103,3553.116,58.015,4.7987,0.1157,30.304,-0.020909,0.010764
2M08293510+2326578,5632,127.396285,23.44939,47.566,5.74694,0.064223,3842.145,87.091,4.6349,0.1067,6.74249,0.006493,0.015316
2M08294200+2640453,2421,127.425013,26.679266,121.91,22.768101,0.034708,3938.745,75.099,4.7003,0.1033,14.35159,0.123441,0.01025
2M08294583+1949078,2402,127.440975,19.818846,118.79,10.7174,0.026911,3985.135,78.768,4.8103,0.1115,4.78586,-0.145339,0.012449
2M08294719+2342260,5632,127.446666,23.707226,104.98,-0.695877,0.069285,3464.888,68.943,5.0097,0.1154,23.21667,-0.038961,0.015923
2M08295448+5054222,2297,127.477012,50.906178,95.993,-50.9105,0.038389,3342.852,74.411,5.4125,0.1568,7.97756,-0.976149,0.036508
2M08295706+1834000,2109,127.487767,18.566683,98.857,36.323601,0.030378,3829.424,82.911,4.7418,0.1049,6.89557,0.079491,0.013702
2M08300022+5120349,2297,127.500955,51.343044,31.782,49.354801,0.04927,3716.3,86.869,4.9227,0.1063,4.31092,0.058995,0.016739
2M08300065+2814217,2424,127.502732,28.239367,153.26,62.032398,0.020318,3622.235,63.123,5.1028,0.1168,7.97168,-0.100889,0.012031
2M08300224+0005543,5127,127.509346,0.098435,99.96,20.470301,0.029006,3958.809,82.634,4.8014,0.1091,4.19488,-0.083907,0.013298
2M08301023+5552503,2298,127.542626,55.880661,195.48,-7.93238,0.016491,3363.05,56.332,5.0358,0.128,7.48462,-0.262649,0.014719
2M08301415+5032213,2297,127.558966,50.539253,164.76,-7.61071,0.015814,3782.095,73.847,4.9157,0.1078,4.82992,0.047421,0.012097
2M08301884-0040258,5127,127.578525,-0.673836,117.3,57.769402,0.027948,3964.649,81.71,4.6715,0.1212,3.33634,-0.407649,0.01571
2M08302292+1938129,2402,127.595505,19.63693,256.37,-7.65009,0.01242,3972.683,66.468,4.7546,0.1132,3.65141,-0.132429,0.009461
2M08302466+5313202,2298,127.602753,53.222294,64.983,-0.912354,0.054155,3751.047,86.009,5.0285,0.1266,4.74657,-0.491819,0.022036
2M08303187+2536117,2421,127.632815,25.603251,142.96,50.340302,0.018369,3724.378,70.734,4.7562,0.1196,2.88343,-0.242239,0.014178
2M08303196+4627311,2300,127.633176,46.458656,558.61,29.200899,0.005473,3900.341,65.48,4.8761,0.1165,2.61096,-0.194599,0.010232
2M08303475+2152544,5632,127.644804,21.881783,63.864,-17.9604,0.050879,3501.316,77.609,4.8716,0.1177,6.95889,-0.151899,0.019847
2M08303614+2022046,2402,127.650592,20.367949,138.12,26.179701,0.020309,3731.883,69.656,4.8556,0.114,3.58245,-0.092654,0.012557
2M08304263+2757005,2424,127.677635,27.95015,138.02,-7.11627,0.027352,3790.824,70.311,4.8503,0.1126,2.79905,-0.074892,0.011898
2M08304981+4137261,5638,127.707549,41.623917,97.139,-5.74959,0.06116,3998.034,84.129,4.6789,0.1145,22.04956,-0.252919,0.014601
2M08305366+1902077,2109,127.723598,19.035477,109.58,69.990196,0.02919,3976.225,79.59,4.7238,0.1093,3.95485,-0.084269,0.012313
2M08305429+2337011,2408,127.72622,23.61698,239.38,-25.7647,0.013785,3727.481,62.093,4.9056,0.1186,4.08103,-0.176819,0.010984
2M08305687+5324078,2298,127.736993,53.402176,109.69,12.1233,0.036467,3848.874,76.417,4.6746,0.1113,8.18446,-0.085423,0.01297
2M08305687+5324078,2101,127.736993,53.402176,107.35,10.287,0.029686,3870.9,78.456,4.7216,0.1112,6.13946,-0.097739,0.013358
2M08311897+4527149,2300,127.829078,45.454159,78.096,-56.8666,0.036414,3485.063,77.747,5.0335,0.1229,6.46324,-0.281669,0.021906
2M08312122+2133167,2402,127.838458,21.554661,121.31,-14.8836,0.027543,3956.669,77.844,4.7358,0.1132,3.27695,-0.178889,0.012777
2M08313303+5417235,2298,127.887652,54.289883,140.6,17.601801,0.027023,3420.071,65.17,5.1117,0.1276,12.38797,-0.319279,0.018079
2M08313306+0010083,5127,127.887777,0.168994,72.501,32.0023,0.041168,3977.496,89.961,4.8292,0.1219,3.82217,-0.462559,0.018773
2M08313769+2225224,2408,127.907057,22.422894,171.99,-27.108299,0.022622,3626.348,65.061,4.8405,0.1317,7.78843,-0.482499,0.015794
2M08314063+6339555,5635,127.919309,63.665424,94.205,-62.024601,0.035074,3937.595,83.292,4.8087,0.1169,2.99806,-0.294099,0.015543
2M08314170+2344541,2416,127.923786,23.748384,242.32,52.945999,0.032179,3831.748,64.319,4.6697,0.1185,34.45879,-0.218149,0.010754
2M08314874+6244368,5635,127.953101,62.743565,113.99,-16.454201,0.033934,3993.16,79.185,4.8377,0.1059,8.60439,0.010805,0.011375
2M08320070+4617597,2300,128.002957,46.299931,62.567,3.56392,0.034803,3433.551,75.771,4.5752,0.127,6.75538,-0.358579,0.023323
2M08320586+2245571,5632,128.024419,22.765871,133.68,-13.2793,0.083546,3781.052,70.725,4.7024,0.1136,38.11536,-0.101279,0.01232
